#Tempo(s)	Intensità (Un. Arb.)

88.56252500000001	3.894043
88.57815000000001	3.894043
88.57815000000001	3.894043
88.59377500000001	3.894043
88.60940000000001	3.881836
88.62502500000001	3.881836
88.62502500000001	3.881836
88.64065000000001	3.894043
88.64065000000001	3.881836
88.65627500000001	3.881836
88.67190000000001	3.869629
88.68752500000001	3.881836
88.68752500000001	3.857422
88.70315000000001	3.869629
88.70315000000001	3.857422
88.71877500000001	3.857422
88.71877500000001	3.845215
88.73440000000001	3.857422
88.75002500000001	3.845215
88.76565000000001	3.845215
88.76565000000001	3.845215
88.78127500000001	3.845215
88.78127500000001	3.833008
88.79690000000001	3.845215
88.79690000000001	3.808594
88.81252500000001	3.820801
88.82815000000001	3.796387
88.84377500000001	3.808594
88.84377500000001	3.808594
88.85940000000001	3.808594
88.85940000000001	3.796387
88.87502500000001	3.796387
88.89065000000001	3.771973
88.90627500000001	3.78418
88.90627500000001	3.771973
88.92190000000001	3.78418
88.92190000000001	3.771973
88.93752500000001	3.78418
88.93752500000001	3.759766
88.95315000000001	3.771973
88.96877500000001	3.747559
88.98440000000001	3.747559
88.98440000000001	3.735352
89.00002500000001	3.747559
89.00002500000001	3.735352
89.01565000000001	3.735352
89.03127500000001	3.723145
89.04690000000001	3.735352
89.04690000000001	3.710937
89.06252500000001	3.710937
89.06252500000001	3.686523
89.07815000000001	3.710937
89.07815000000001	3.674316
89.09377500000001	3.686523
89.10940000000001	3.674316
89.12502500000001	3.686523
89.12502500000001	3.662109
89.14065000000001	3.674316
89.14065000000001	3.649902
89.15627500000001	3.662109
89.15627500000001	3.649902
89.18752500000001	3.649902
89.18752500000001	3.637695
89.20315000000001	3.649902
89.20315000000001	3.637695
89.21877500000001	3.649902
89.21877500000001	3.625488
89.23440000000001	3.637695
89.25002500000001	3.601074
89.26565000000001	3.613281
89.26565000000001	3.588867
89.28127500000001	3.601074
89.28127500000001	3.57666
89.29690000000001	3.588867
89.29690000000001	3.564453
89.31252500000001	3.588867
89.32815000000001	3.564453
89.34377500000001	3.564453
89.34377500000001	3.540039
89.35940000000001	3.552246
89.35940000000001	3.527832
89.37502500000001	3.540039
89.39065000000001	3.515625
89.40627500000001	3.540039
89.40627500000001	3.503418
89.42190000000001	3.515625
89.42190000000001	3.491211
89.43752500000001	3.491211
89.43752500000001	3.491211
89.45315000000001	3.466797
89.46877500000001	3.466797
89.48440000000001	3.466797
89.48440000000001	3.442383
89.50002500000001	3.479004
89.50002500000001	3.417969
89.51565000000001	3.442383
89.51565000000001	3.417969
89.54690000000001	3.405762
89.54690000000001	3.417969
89.56252500000001	3.417969
89.56252500000001	3.405762
89.57815000000001	3.405762
89.57815000000001	3.381348
89.59377500000001	3.393555
89.60940000000001	3.393555
89.62502500000001	3.381348
89.62502500000001	3.393555
89.64065000000001	3.393555
89.64065000000001	3.356934
89.65627500000001	3.369141
